reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
78.0,80.0,162.0,0,0,0,l,19.434190040978137,None,0,0,0,6,0.18953195796348155,,0.1723104999982752,0.18953195796348155,1.003687332966365,1.003687332966365,1.1878249580040574,21.077483291970566,l,19.434190040978137,None,1,001,2025-10-24_11h34.24.710,delay discounting,,2025.1.1,None,2025-10-24 11h34.53.076957 +0530,
11.0,30.0,7.0,1,1,0,l,9.303152207983658,None,0,1,1,0,21.239236833003815,,21.085671124979854,21.239236833003815,22.077759083011188,22.077759083011188,22.237407749984413,31.393044832977466,l,9.303152207983658,None,1,001,2025-10-24_11h34.24.710,delay discounting,,2025.1.1,None,2025-10-24 11h34.53.076957 +0530,
27.0,50.0,21.0,2,2,0,l,5.329019083001185,None,0,2,2,2,31.449708041967824,,31.41782679199241,31.449708041967824,32.394122749974485,32.394122749974485,32.44383124995511,37.72906358295586,l,5.329019083001185,None,1,001,2025-10-24_11h34.24.710,delay discounting,,2025.1.1,None,2025-10-24 11h34.53.076957 +0530,
49.0,60.0,89.0,3,3,0,t,3.627527915989049,None,0,3,3,4,37.749169749964494,,37.74048687500181,37.749169749964494,38.72840283298865,38.72840283298865,38.74043837498175,42.3603169999551,t,3.627527915989049,None,1,001,2025-10-24_11h34.24.710,delay discounting,,2025.1.1,None,2025-10-24 11h34.53.076957 +0530,
15.0,35.0,13.0,4,4,0,l,3.318275583034847,None,0,4,4,1,42.37428366695531,,42.365703624964226,42.37428366695531,43.36041774996556,43.36041774996556,43.37038920796476,46.69355933298357,l,3.318275583034847,None,1,001,2025-10-24_11h34.24.710,delay discounting,,2025.1.1,None,2025-10-24 11h34.53.076957 +0530,
67.0,75.0,119.0,5,5,0,t,3.344661957991775,None,0,5,5,5,46.72129620797932,,46.7072111669695,46.72129620797932,47.69339116697665,47.69339116697665,47.70856208296027,51.049201166955754,t,3.344661957991775,None,1,001,2025-10-24_11h34.24.710,delay discounting,,2025.1.1,None,2025-10-24 11h34.53.076957 +0530,
40.0,55.0,62.0,6,6,0,t,4.966370706970338,None,0,6,6,3,51.07404974999372,,51.06137274997309,51.07404974999372,52.04444920795504,52.04444920795504,52.07070062495768,57.027049291995354,t,4.966370706970338,None,1,001,2025-10-24_11h34.24.710,delay discounting,,2025.1.1,None,2025-10-24 11h34.53.076957 +0530,
40.0,55.0,62.0,7,0,1,t,3.4797081249998882,None,1,0,7,3,57.04062141699251,,57.02790579199791,57.04062141699251,58.026726291980594,58.026726291980594,58.03739291697275,61.52460949996021,t,3.4797081249998882,None,1,001,2025-10-24_11h34.24.710,delay discounting,,2025.1.1,None,2025-10-24 11h34.53.076957 +0530,
27.0,50.0,21.0,8,1,1,l,2.6348784579895437,None,1,1,8,2,61.54369433299871,,61.53480129200034,61.54369433299871,62.520601249998435,62.520601249998435,62.5372670830111,65.16192208300345,l,2.6348784579895437,None,1,001,2025-10-24_11h34.24.710,delay discounting,,2025.1.1,None,2025-10-24 11h34.53.076957 +0530,
67.0,75.0,119.0,9,2,1,t,5.629664041043725,None,1,2,9,5,65.17815670795972,,65.16834320797352,65.17815670795972,66.16108437499497,66.16108437499497,66.17063829198014,71.79966379195685,t,5.629664041043725,None,1,001,2025-10-24_11h34.24.710,delay discounting,,2025.1.1,None,2025-10-24 11h34.53.076957 +0530,
15.0,35.0,13.0,10,3,1,l,2.583857123972848,None,1,3,10,1,71.82726820796961,,71.81627641699743,71.82726820796961,72.79388287500478,72.79388287500478,72.82565758295823,75.38086704199668,l,2.583857123972848,None,1,001,2025-10-24_11h34.24.710,delay discounting,,2025.1.1,None,2025-10-24 11h34.53.076957 +0530,
78.0,80.0,162.0,11,4,1,t,3.192678748979233,None,1,4,11,6,75.39482341700932,,75.38674524996895,75.39482341700932,76.37800604198128,76.37800604198128,76.38694516697433,79.57933579199016,t,3.192678748979233,None,1,001,2025-10-24_11h34.24.710,delay discounting,,2025.1.1,None,2025-10-24 11h34.53.076957 +0530,
11.0,30.0,7.0,12,5,1,l,7.793865500018001,None,1,5,12,0,79.606818249973,,79.59003629197832,79.606818249973,80.5779261669959,80.5779261669959,80.60437354200985,88.38941683300072,l,7.793865500018001,None,1,001,2025-10-24_11h34.24.710,delay discounting,,2025.1.1,None,2025-10-24 11h34.53.076957 +0530,
49.0,60.0,89.0,13,6,1,t,6.251801540958695,None,1,6,13,4,88.40624599996954,,88.3974531670101,88.40624599996954,89.38329058297677,89.38329058297677,89.42102791700745,95.63899445795687,t,6.251801540958695,None,1,001,2025-10-24_11h34.24.710,delay discounting,,2025.1.1,None,2025-10-24 11h34.53.076957 +0530,
40.0,55.0,62.0,14,0,2,t,2.215013374981936,None,2,0,14,3,95.66041145799682,,95.64801850001095,95.66041145799682,96.63724516698858,96.63724516698858,96.65398195799207,98.8568342080107,t,2.215013374981936,None,1,001,2025-10-24_11h34.24.710,delay discounting,,2025.1.1,None,2025-10-24 11h34.53.076957 +0530,
78.0,80.0,162.0,15,1,2,t,4.2709651659824885,None,2,1,15,6,98.87606508296449,,98.86506445799023,98.87606508296449,99.8529323329567,99.8529323329567,99.8747571670101,104.1286508750054,t,4.2709651659824885,None,1,001,2025-10-24_11h34.24.710,delay discounting,,2025.1.1,None,2025-10-24 11h34.53.076957 +0530,
27.0,50.0,21.0,16,2,2,l,3.96550104097696,None,2,2,16,2,104.15159891697112,,104.14170274999924,104.15159891697112,105.12645183299901,105.12645183299901,105.14279474999057,109.10926499997731,l,3.96550104097696,None,1,001,2025-10-24_11h34.24.710,delay discounting,,2025.1.1,None,2025-10-24 11h34.53.076957 +0530,
67.0,75.0,119.0,17,3,2,t,2.4169174159760587,None,2,3,17,5,109.13213162496686,,109.11757008300629,109.13213162496686,110.10383091698168,110.10383091698168,110.12926454195986,112.52792766696075,t,2.4169174159760587,None,1,001,2025-10-24_11h34.24.710,delay discounting,,2025.1.1,None,2025-10-24 11h34.53.076957 +0530,
49.0,60.0,89.0,18,4,2,t,2.3756198750343174,None,2,4,18,4,112.55148274998646,,112.53993887500837,112.55148274998646,113.51893758296501,113.51893758296501,113.5422497499967,115.92178520798916,t,2.3756198750343174,None,1,001,2025-10-24_11h34.24.710,delay discounting,,2025.1.1,None,2025-10-24 11h34.53.076957 +0530,
11.0,30.0,7.0,19,5,2,l,1.6191596660064533,None,2,5,19,0,115.94081075000577,,115.93031158298254,115.94081075000577,116.91929233301198,116.91929233301198,116.93696729198564,118.54440008295933,l,1.6191596660064533,None,1,001,2025-10-24_11h34.24.710,delay discounting,,2025.1.1,None,2025-10-24 11h34.53.076957 +0530,
15.0,35.0,13.0,20,6,2,l,1.6188025820301846,None,2,6,20,1,118.56112916697748,,118.55163499998162,118.56112916697748,119.54372416698607,119.54372416698607,119.55400050000753,121.17441262496868,l,1.6188025820301846,None,1,001,2025-10-24_11h34.24.710,delay discounting,,2025.1.1,None,2025-10-24 11h34.53.076957 +0530,
15.0,35.0,13.0,21,0,3,l,1.6450475829769857,None,3,0,21,1,121.18919704196742,,121.17511720798211,121.18919704196742,122.1704058329924,122.1704058329924,122.18765137495939,123.82283291697968,l,1.6450475829769857,None,1,001,2025-10-24_11h34.24.710,delay discounting,,2025.1.1,None,2025-10-24 11h34.53.076957 +0530,
78.0,80.0,162.0,22,1,3,t,1.5980177909950726,None,3,1,22,6,123.84148533298867,,123.8322844170034,123.84148533298867,124.82028633297887,124.82028633297887,124.8372819579672,126.42211774998577,t,1.5980177909950726,None,1,001,2025-10-24_11h34.24.710,delay discounting,,2025.1.1,None,2025-10-24 11h34.53.076957 +0530,
11.0,30.0,7.0,23,2,3,l,5.203266958007589,None,3,2,23,0,126.43808474997059,,126.42905441700714,126.43808474997059,127.42037279199576,127.42037279199576,127.43696183298016,132.62868245795835,l,5.203266958007589,None,1,001,2025-10-24_11h34.24.710,delay discounting,,2025.1.1,None,2025-10-24 11h34.53.076957 +0530,
67.0,75.0,119.0,24,3,3,t,4.464371790993027,None,3,3,24,5,132.65366987499874,,132.6400256669731,132.65366987499874,133.6266847079969,133.6266847079969,133.64239666698268,138.09492433298146,t,4.464371790993027,None,1,001,2025-10-24_11h34.24.710,delay discounting,,2025.1.1,None,2025-10-24 11h34.53.076957 +0530,
27.0,50.0,21.0,25,4,3,l,2.3088519159937277,None,3,4,25,2,138.11178224999458,,138.102056542004,138.11178224999458,139.09402895800304,139.09402895800304,139.10984862496844,141.4051926250104,l,2.3088519159937277,None,1,001,2025-10-24_11h34.24.710,delay discounting,,2025.1.1,None,2025-10-24 11h34.53.076957 +0530,
40.0,55.0,62.0,26,5,3,t,1.8440644569927827,None,3,5,26,3,141.42247849999694,,141.41165379196173,141.42247849999694,142.40375270799268,142.40375270799268,142.42034424998565,144.2565029169782,t,1.8440644569927827,None,1,001,2025-10-24_11h34.24.710,delay discounting,,2025.1.1,None,2025-10-24 11h34.53.076957 +0530,
49.0,60.0,89.0,27,6,3,t,1.9111232069553807,None,3,6,27,4,144.27445670799352,,144.26396104198648,144.27445670799352,145.25359649996972,145.25359649996972,145.2702661670046,147.1725942500052,t,1.9111232069553807,None,1,001,2025-10-24_11h34.24.710,delay discounting,,2025.1.1,None,2025-10-24 11h34.53.076957 +0530,
78.0,80.0,162.0,28,0,4,t,1.4008762490120716,None,4,0,28,6,147.19105341698742,,147.17949116695672,147.19105341698742,148.17062629200518,148.17062629200518,148.18725266697584,149.57842637499562,t,1.4008762490120716,None,1,001,2025-10-24_11h34.24.710,delay discounting,,2025.1.1,None,2025-10-24 11h34.53.076957 +0530,
11.0,30.0,7.0,29,1,4,l,1.8174638320342638,None,4,1,29,0,149.59706549998373,,149.58674754196545,149.59706549998373,150.57912512496114,150.57912512496114,150.59043708298123,152.40724674996454,l,1.8174638320342638,None,1,001,2025-10-24_11h34.24.710,delay discounting,,2025.1.1,None,2025-10-24 11h34.53.076957 +0530,
15.0,35.0,13.0,30,2,4,l,2.740772041026503,None,4,2,30,1,152.42548824998084,,152.4148059579893,152.42548824998084,153.40359316696413,153.40359316696413,153.42015945800813,156.15571666700998,l,2.740772041026503,None,1,001,2025-10-24_11h34.24.710,delay discounting,,2025.1.1,None,2025-10-24 11h34.53.076957 +0530,
67.0,75.0,119.0,31,3,4,t,1.9615683750016615,None,4,3,31,5,156.17289929196704,,156.16294391697738,156.17289929196704,157.15389283298282,157.15389283298282,157.1703076249687,159.12264412496006,t,1.9615683750016615,None,1,001,2025-10-24_11h34.24.710,delay discounting,,2025.1.1,None,2025-10-24 11h34.53.076957 +0530,
40.0,55.0,62.0,32,4,4,t,3.318068415974267,None,4,4,32,3,159.1400419579586,,159.12934829195729,159.1400419579586,160.12034537497675,160.12034537497675,160.1370297499816,163.4446187079884,t,3.318068415974267,None,1,001,2025-10-24_11h34.24.710,delay discounting,,2025.1.1,None,2025-10-24 11h34.53.076957 +0530,
49.0,60.0,89.0,33,5,4,t,1.9394832070101984,None,4,5,33,4,163.46252733300207,,163.45315708295675,163.46252733300207,164.45369545801077,164.45369545801077,164.46050004195422,166.40592733299127,t,1.9394832070101984,None,1,001,2025-10-24_11h34.24.710,delay discounting,,2025.1.1,None,2025-10-24 11h34.53.076957 +0530,
