word,color,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,ty.started,text_3.started,text_3.stopped,ty.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.009603125043213367,0.018476500001270324,1.000855959020555,,,,,,,,,,,,,,,1,"001",2025-08-24_14h06.39.859,stroop_task,,2025.2.0,None,2025-08-24 14h06.39.973774 +0530,
RED,red,C,r,0,0,0,r,1,0.5297100830357522,None,0,0,0,0,1.0422144170152023,,,,,1.0293837920180522,1.0422144170152023,1.7244677090202458,1.7244677090202458,1.7244677090202458,2.602179750043433,r,1,0.5297100830357522,None,,,,,1,"001",2025-08-24_14h06.39.859,stroop_task,,2025.2.0,None,2025-08-24 14h06.39.973774 +0530,
BLUE,red,I,r,1,1,0,r,1,0.713294166023843,None,0,1,1,2,2.6449070000089705,,,,,2.6059913749923,2.6449070000089705,3.0990353749948554,3.0990353749948554,3.0990353749948554,3.8155460840207525,r,1,0.713294166023843,None,,,,,1,"001",2025-08-24_14h06.39.859,stroop_task,,2025.2.0,None,2025-08-24 14h06.39.973774 +0530,
RED,blue,I,b,2,2,0,b,1,0.5659215830382891,None,0,2,2,1,3.847205917001702,,,,,3.8206173340440728,3.847205917001702,4.313362667046022,4.313362667046022,4.313362667046022,4.8822689590160735,b,1,0.5659215830382891,None,,,,,1,"001",2025-08-24_14h06.39.859,stroop_task,,2025.2.0,None,2025-08-24 14h06.39.973774 +0530,
BLUE,blue,C,b,3,3,0,b,1,0.5797751249629073,None,0,3,3,3,4.897776834026445,,,,,4.887573792017065,4.897776834026445,5.380298000003677,5.380298000003677,5.380298000003677,5.96546166704502,b,1,0.5797751249629073,None,,,,,1,"001",2025-08-24_14h06.39.859,stroop_task,,2025.2.0,None,2025-08-24 14h06.39.973774 +0530,
BLUE,red,I,r,4,0,1,r,1,0.7386015410302207,None,1,0,4,2,5.978302709001582,,,,,5.966732500004582,5.978302709001582,6.46354737499496,6.46354737499496,6.46354737499496,7.205000834015664,r,1,0.7386015410302207,None,,,,,1,"001",2025-08-24_14h06.39.859,stroop_task,,2025.2.0,None,2025-08-24 14h06.39.973774 +0530,
RED,red,C,r,5,1,1,r,1,0.7671329160220921,None,1,1,5,0,7.220199084025808,,,,,7.210810917022172,7.220199084025808,7.71400924999034,7.71400924999034,7.71400924999034,8.488353374996223,r,1,0.7671329160220921,None,,,,,1,"001",2025-08-24_14h06.39.859,stroop_task,,2025.2.0,None,2025-08-24 14h06.39.973774 +0530,
RED,blue,I,b,6,2,1,b,1,1.0149102080031298,None,1,2,6,1,8.499958750035148,,,,,8.489253709034529,8.499958750035148,8.987183834018651,8.987183834018651,8.987183834018651,10.003875499998685,b,1,1.0149102080031298,None,,,,,1,"001",2025-08-24_14h06.39.859,stroop_task,,2025.2.0,None,2025-08-24 14h06.39.973774 +0530,
BLUE,blue,C,b,7,3,1,b,1,0.7317886250093579,None,1,3,7,3,10.018262625031639,,,,,10.008497500035446,10.018262625031639,10.50527125003282,10.50527125003282,10.50527125003282,11.24910237500444,b,1,0.7317886250093579,None,,,,,1,"001",2025-08-24_14h06.39.859,stroop_task,,2025.2.0,None,2025-08-24 14h06.39.973774 +0530,
RED,blue,I,b,8,0,2,b,1,0.672177124011796,None,2,0,8,1,11.266662334033754,,,,,11.25450845900923,11.266662334033754,11.74688995903125,11.74688995903125,11.74688995903125,12.420916000031866,b,1,0.672177124011796,None,,,,,1,"001",2025-08-24_14h06.39.859,stroop_task,,2025.2.0,None,2025-08-24 14h06.39.973774 +0530,
BLUE,red,I,r,9,1,2,r,1,1.2558679159847088,None,2,1,9,2,12.43800987501163,,,,,12.426677834009752,12.43800987501163,12.922097417002078,12.922097417002078,12.922097417002078,14.181758749997243,r,1,1.2558679159847088,None,,,,,1,"001",2025-08-24_14h06.39.859,stroop_task,,2025.2.0,None,2025-08-24 14h06.39.973774 +0530,
BLUE,blue,C,b,10,2,2,b,1,1.6487807080266066,None,2,2,10,3,14.194215334020555,,,,,14.182826834032312,14.194215334020555,14.680126917024609,14.680126917024609,14.680126917024609,16.331913792004343,b,1,1.6487807080266066,None,,,,,1,"001",2025-08-24_14h06.39.859,stroop_task,,2025.2.0,None,2025-08-24 14h06.39.973774 +0530,
RED,red,C,r,11,3,2,r,1,0.8045333750196733,None,2,3,11,0,16.349527584039606,,,,,16.337664833990857,16.349527584039606,16.830226084042806,16.830226084042806,16.830226084042806,17.637902334041428,r,1,0.8045333750196733,None,,,,,1,"001",2025-08-24_14h06.39.859,stroop_task,,2025.2.0,None,2025-08-24 14h06.39.973774 +0530,
RED,blue,I,b,12,0,3,b,1,0.8384119580150582,None,3,0,12,1,17.650165667000692,,,,,17.63918391702464,17.650165667000692,18.138417417008895,18.138417417008895,18.138417417008895,18.98391641699709,b,1,0.8384119580150582,None,,,,,1,"001",2025-08-24_14h06.39.859,stroop_task,,2025.2.0,None,2025-08-24 14h06.39.973774 +0530,
BLUE,blue,C,b,13,1,3,b,1,0.8496916660224088,None,3,1,13,3,18.99889854202047,,,,,18.989248375000898,18.99889854202047,19.497098750027362,19.497098750027362,19.497098750027362,20.348937417031266,b,1,0.8496916660224088,None,,,,,1,"001",2025-08-24_14h06.39.859,stroop_task,,2025.2.0,None,2025-08-24 14h06.39.973774 +0530,
RED,red,C,r,14,2,3,r,1,0.6688688329886645,None,3,2,14,0,20.3655712089967,,,,,20.35467366699595,20.3655712089967,20.846864167018794,20.846864167018794,20.846864167018794,21.52081816701684,r,1,0.6688688329886645,None,,,,,1,"001",2025-08-24_14h06.39.859,stroop_task,,2025.2.0,None,2025-08-24 14h06.39.973774 +0530,
BLUE,red,I,r,15,3,3,r,1,0.5721804579952732,None,3,3,15,2,21.53582849999657,,,,,21.52542754204478,21.53582849999657,22.021572959027253,22.021572959027253,22.021572959027253,22.598883958999068,r,1,0.5721804579952732,None,,,,,1,"001",2025-08-24_14h06.39.859,stroop_task,,2025.2.0,None,2025-08-24 14h06.39.973774 +0530,
BLUE,red,I,r,16,0,4,r,1,0.5948429990094155,None,4,0,16,2,22.607941708993167,,,,,22.600015709002037,22.607941708993167,23.099893417034764,23.099893417034764,23.099893417034764,23.699045917019248,r,1,0.5948429990094155,None,,,,,1,"001",2025-08-24_14h06.39.859,stroop_task,,2025.2.0,None,2025-08-24 14h06.39.973774 +0530,
RED,blue,I,b,17,1,4,b,1,0.5376439579995349,None,4,1,17,1,23.71621370903449,,,,,23.704549374990165,23.71621370903449,24.196893042011652,24.196893042011652,24.196893042011652,24.73748670902569,b,1,0.5376439579995349,None,,,,,1,"001",2025-08-24_14h06.39.859,stroop_task,,2025.2.0,None,2025-08-24 14h06.39.973774 +0530,
