thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.18555555555555556)],[np.float64(0.14555555555555555)],[1],[0],[0],[2.325456958002178],['target'],0,0,0,0,0.11670624998805579,,10,0.09755445799964946,0.11670624998805579,0.11670624998805579,0.09757104200252797,2.423128041991731,[np.float64(0.18555555555555556)],[np.float64(0.14555555555555555)],[1],[0],[0],[2.325456958002178],['target'],2,001,2025-09-30_16h28.55.345,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h29.05.525764 +0530,
1,0,1,[np.float64(0.3477777777777778)],[np.float64(-0.25555555555555554)],[1],[0],[0],[2.9735802079958376],['target'],1,0,1,0,2.4895409579912666,,10,2.480545375001384,2.4895409579912666,2.4895409579912666,0.057044582994421944,5.454353207998793,[np.float64(0.3477777777777778)],[np.float64(-0.25555555555555554)],[1],[0],[0],[2.9735802079958376],['target'],2,001,2025-09-30_16h28.55.345,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h29.05.525764 +0530,
2,0,2,[np.float64(-0.3088888888888889)],[np.float64(0.39666666666666667)],[1],[0],[0],[2.7608552089950535],['target'],2,0,2,0,5.528743041999405,,10,5.518795457988745,5.528743041999405,5.528743041999405,0.061073958000633866,8.27969199999643,[np.float64(-0.3088888888888889)],[np.float64(0.39666666666666667)],[1],[0],[0],[2.7608552089950535],['target'],2,001,2025-09-30_16h28.55.345,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h29.05.525764 +0530,
3,0,3,[np.float64(0.3877777777777778)],[np.float64(0.3011111111111111)],[1],[0],[0],[2.3222369169961894],['target'],3,0,3,0,8.35245033299725,,10,8.342966083000647,8.35245033299725,8.35245033299725,0.06311037500563543,10.665272792000906,[np.float64(0.3877777777777778)],[np.float64(0.3011111111111111)],[1],[0],[0],[2.3222369169961894],['target'],2,001,2025-09-30_16h28.55.345,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h29.05.525764 +0530,
4,0,4,[np.float64(-0.19666666666666666)],[np.float64(0.3655555555555556)],[1],[0],[0],[1.2969595409958856],[None],4,0,4,0,10.708639082993614,,5,10.700969957993948,10.708639082993614,10.708639082993614,0.03547033299400937,11.997999207989778,[np.float64(-0.19666666666666666)],[np.float64(0.3655555555555556)],[1],[0],[0],[1.2969595409958856],[None],2,001,2025-09-30_16h28.55.345,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h29.05.525764 +0530,
5,0,5,[np.float64(-0.31555555555555553)],[np.float64(-0.19111111111111112)],[1],[0],[0],[1.6287184589891694],['target'],5,0,5,0,12.04219695799111,,5,12.034889999995357,12.04219695799111,12.04219695799111,0.036719416006235406,13.663678749988321,[np.float64(-0.31555555555555553)],[np.float64(-0.19111111111111112)],[1],[0],[0],[1.6287184589891694],['target'],2,001,2025-09-30_16h28.55.345,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h29.05.525764 +0530,
6,0,6,[np.float64(-0.35777777777777775)],[np.float64(-0.39222222222222225)],[1],[0],[0],[1.9398211669904413],['target'],6,0,6,0,13.734567541992874,,10,13.72538999999233,13.734567541992874,13.734567541992874,0.061527875004685484,15.665269666991662,[np.float64(-0.35777777777777775)],[np.float64(-0.39222222222222225)],[1],[0],[0],[1.9398211669904413],['target'],2,001,2025-09-30_16h28.55.345,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h29.05.525764 +0530,
7,0,7,[np.float64(0.45444444444444443)],[np.float64(-0.16666666666666666)],[1],[0],[0],[1.2351768340013223],[None],7,0,7,0,15.703540999995312,,5,15.697066624998115,15.703540999995312,15.703540999995312,0.031619750006939285,16.932315957994433,[np.float64(0.45444444444444443)],[np.float64(-0.16666666666666666)],[1],[0],[0],[1.2351768340013223],[None],2,001,2025-09-30_16h28.55.345,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h29.05.525764 +0530,
8,0,8,[np.float64(-0.4255555555555556)],[np.float64(-0.13)],[1],[0],[0],[1.3613946669938741],['target'],8,0,8,0,16.976366499991855,,5,16.97006649999821,16.976366499991855,16.976366499991855,0.037573083012830466,18.331527957998333,[np.float64(-0.4255555555555556)],[np.float64(-0.13)],[1],[0],[0],[1.3613946669938741],['target'],2,001,2025-09-30_16h28.55.345,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h29.05.525764 +0530,
9,0,9,[np.float64(0.23333333333333334)],[np.float64(0.47333333333333333)],[1],[0],[0],[1.4858301659987774],[None],9,0,9,0,18.375222082991968,,5,18.3676342079998,18.375222082991968,18.375222082991968,0.035935167004936375,19.85355920800066,[np.float64(0.23333333333333334)],[np.float64(0.47333333333333333)],[1],[0],[0],[1.4858301659987774],[None],2,001,2025-09-30_16h28.55.345,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h29.05.525764 +0530,
10,0,10,[np.float64(0.22444444444444445)],[np.float64(-0.42333333333333334)],[1],[0],[0],[2.3627695000031963],['target'],10,0,10,0,19.89207845799683,,5,19.884183417001623,19.89207845799683,19.89207845799683,0.030490457997075282,22.247052207996603,[np.float64(0.22444444444444445)],[np.float64(-0.42333333333333334)],[1],[0],[0],[2.3627695000031963],['target'],2,001,2025-09-30_16h28.55.345,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h29.05.525764 +0530,
11,0,11,[np.float64(0.4688888888888889)],[np.float64(0.32222222222222224)],[1],[0],[0],[1.8014034580119187],['target'],11,0,11,0,22.286827832998824,,5,22.280509707998135,22.286827832998824,22.286827832998824,0.03317199999582954,24.081980374990962,[np.float64(0.4688888888888889)],[np.float64(0.32222222222222224)],[1],[0],[0],[1.8014034580119187],['target'],2,001,2025-09-30_16h28.55.345,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h29.05.525764 +0530,
12,0,12,[np.float64(0.16)],[np.float64(-0.3377777777777778)],[1],[0],[0],[1.365387957994244],['target'],12,0,12,0,24.125370875000954,,5,24.117892875001417,24.125370875000954,24.125370875000954,0.035733833006815985,25.483379207988037,[np.float64(0.16)],[np.float64(-0.3377777777777778)],[1],[0],[0],[1.365387957994244],['target'],2,001,2025-09-30_16h28.55.345,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h29.05.525764 +0530,
13,0,13,[np.float64(-0.30666666666666664)],[np.float64(-0.42333333333333334)],[1],[0],[0],[1.4019081659935182],[None],13,0,13,0,25.55633374999161,,10,25.547021791993757,25.55633374999161,25.55633374999161,0.06341345800319687,26.94899862499733,[np.float64(-0.30666666666666664)],[np.float64(-0.42333333333333334)],[1],[0],[0],[1.4019081659935182],[None],2,001,2025-09-30_16h28.55.345,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h29.05.525764 +0530,
