study_word,thisN,thisTrialN,thisRepN,studyslider.response,studyslider.rt,test_words,textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,studytext.started,studyslider.started,trial.stopped,trials.studyslider.response,trials.studyslider.rt,test.started,test_text.started,textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,test_text.stopped,textbox.stopped,submit_text.stopped,testmouse.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
keys,0,0,0,4.99,5.950110374978976,,,,,,,,,,0,0,0,13,,,,,0.1401659999974072,,0.1017900420119986,0.1401659999974072,0.1401659999974072,6.060484792018542,4.99,5.950110374978976,,,,,,,,,,,,,,,,,,,2,001,2025-10-16_21h51.22.995,Word Priming ,,2025.1.1,None,2025-10-16 21h51.33.845346 +0530,
chart,1,1,0,2.035,4.168921042000875,,,,,,,,,,0,1,1,6,,,,,6.075135542021599,,6.066087792016333,6.075135542021599,6.075135542021599,10.243793250003364,2.035,4.168921042000875,,,,,,,,,,,,,,,,,,,2,001,2025-10-16_21h51.22.995,Word Priming ,,2025.1.1,None,2025-10-16 21h51.33.845346 +0530,
phone,2,2,0,1,2.269750459003262,,,,,,,,,,0,2,2,2,,,,,10.253281667013653,,10.24760500001139,10.253281667013653,10.253281667013653,12.527266417018836,1,2.269750459003262,,,,,,,,,,,,,,,,,,,2,001,2025-10-16_21h51.22.995,Word Priming ,,2025.1.1,None,2025-10-16 21h51.33.845346 +0530,
laptop,3,3,0,2.055,2.755199708015425,,,,,,,,,,0,3,3,5,,,,,12.535378667002078,,12.529689084010897,12.535378667002078,12.535378667002078,15.293802250002045,2.055,2.755199708015425,,,,,,,,,,,,,,,,,,,2,001,2025-10-16_21h51.22.995,Word Priming ,,2025.1.1,None,2025-10-16 21h51.33.845346 +0530,
book,4,4,0,1.075,2.5897040420095436,,,,,,,,,,0,4,4,0,,,,,15.301275917008752,,15.295641625009011,15.301275917008752,15.301275917008752,17.893931833998067,1.075,2.5897040420095436,,,,,,,,,,,,,,,,,,,2,001,2025-10-16_21h51.22.995,Word Priming ,,2025.1.1,None,2025-10-16 21h51.33.845346 +0530,
tshirt,5,5,0,1.075,1.0228535420028493,,,,,,,,,,0,5,5,7,,,,,17.902243084012298,,17.896512459003134,17.902243084012298,17.902243084012298,18.92700066699763,1.075,1.0228535420028493,,,,,,,,,,,,,,,,,,,2,001,2025-10-16_21h51.22.995,Word Priming ,,2025.1.1,None,2025-10-16 21h51.33.845346 +0530,
board,6,6,0,1.075,0.9374210000096355,,,,,,,,,,0,6,6,4,,,,,18.935551292001037,,18.92998329200782,18.935551292001037,18.935551292001037,19.877335124998353,1.075,0.9374210000096355,,,,,,,,,,,,,,,,,,,2,001,2025-10-16_21h51.22.995,Word Priming ,,2025.1.1,None,2025-10-16 21h51.33.845346 +0530,
cruise,7,7,0,4.855,1.971799958992051,,,,,,,,,,0,7,7,11,,,,,19.88611254200805,,19.87976091701421,19.88611254200805,19.88611254200805,21.860615875018993,4.855,1.971799958992051,,,,,,,,,,,,,,,,,,,2,001,2025-10-16_21h51.22.995,Word Priming ,,2025.1.1,None,2025-10-16 21h51.33.845346 +0530,
police,8,8,0,4.885,1.4881987500120886,,,,,,,,,,0,8,8,12,,,,,21.868165584019152,,21.862643333995948,21.868165584019152,21.868165584019152,23.360414499999024,4.885,1.4881987500120886,,,,,,,,,,,,,,,,,,,2,001,2025-10-16_21h51.22.995,Word Priming ,,2025.1.1,None,2025-10-16 21h51.33.845346 +0530,
marble,9,9,0,1.0,1.4555161670141388,,,,,,,,,,0,9,9,3,,,,,23.36797720901086,,23.3624140000029,23.36797720901086,23.36797720901086,24.82711625000229,1.0,1.4555161670141388,,,,,,,,,,,,,,,,,,,2,001,2025-10-16_21h51.22.995,Word Priming ,,2025.1.1,None,2025-10-16 21h51.33.845346 +0530,
pastry,10,10,0,1.0,0.8548907079966739,,,,,,,,,,0,10,10,9,,,,,24.834625584015157,,24.82912116701482,24.834625584015157,24.834625584015157,25.693662917008623,1.0,0.8548907079966739,,,,,,,,,,,,,,,,,,,2,001,2025-10-16_21h51.22.995,Word Priming ,,2025.1.1,None,2025-10-16 21h51.33.845346 +0530,
poster,11,11,0,3.9,1.7382576250238344,,,,,,,,,,0,11,11,14,,,,,25.70125400001416,,25.69565191701986,25.70125400001416,25.70125400001416,27.443677959003253,3.9,1.7382576250238344,,,,,,,,,,,,,,,,,,,2,001,2025-10-16_21h51.22.995,Word Priming ,,2025.1.1,None,2025-10-16 21h51.33.845346 +0530,
cushion,12,12,0,1.085,1.738703999988502,,,,,,,,,,0,12,12,1,,,,,27.45167645899346,,27.446056999993743,27.45167645899346,27.45167645899346,29.19370416700258,1.085,1.738703999988502,,,,,,,,,,,,,,,,,,,2,001,2025-10-16_21h51.22.995,Word Priming ,,2025.1.1,None,2025-10-16 21h51.33.845346 +0530,
mouse,13,13,0,1.085,0.823914083011914,,,,,,,,,,0,13,13,8,,,,,29.201399042009143,,29.195762334013125,29.201399042009143,29.201399042009143,30.026973667001585,1.085,0.823914083011914,,,,,,,,,,,,,,,,,,,2,001,2025-10-16_21h51.22.995,Word Priming ,,2025.1.1,None,2025-10-16 21h51.33.845346 +0530,
case,14,14,0,1.085,0.8380871660192497,,,,,,,,,,0,14,14,10,,,,,30.03543054201873,,30.028958417009562,30.03543054201873,30.03543054201873,30.877036417019553,1.085,0.8380871660192497,,,,,,,,,,,,,,,,,,,2,001,2025-10-16_21h51.22.995,Word Priming ,,2025.1.1,None,2025-10-16 21h51.33.845346 +0530,
