study_word,thisN,thisTrialN,thisRepN,studyslider.response,studyslider.rt,test_words,textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,studytext.started,studyslider.started,trial.stopped,trials.studyslider.response,trials.studyslider.rt,test.started,test_text.started,textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
pastry,0,0,0,1.145,1.2704366249963641,,,,,,,,,,0,0,0,9,,,,,0.07573354101623408,,0.04439675001776777,0.07573354101623408,0.07573354101623408,1.3235812080092728,1.145,1.2704366249963641,,,,,,,,,,,,,,,3,001,2025-10-16_21h54.49.528,Word Priming ,,2025.1.1,None,2025-10-16 21h54.59.723457 +0530,
phone,1,1,0,1.11,1.554863249999471,,,,,,,,,,0,1,1,2,,,,,1.3334774580143858,,1.3276563750114292,1.3334774580143858,1.3334774580143858,2.8900472079985775,1.11,1.554863249999471,,,,,,,,,,,,,,,3,001,2025-10-16_21h54.49.528,Word Priming ,,2025.1.1,None,2025-10-16 21h54.59.723457 +0530,
laptop,2,2,0,1.11,1.2231127499835566,,,,,,,,,,0,2,2,5,,,,,2.897751041018637,,2.8921455000236165,2.897751041018637,2.897751041018637,4.123678625008324,1.11,1.2231127499835566,,,,,,,,,,,,,,,3,001,2025-10-16_21h54.49.528,Word Priming ,,2025.1.1,None,2025-10-16 21h54.59.723457 +0530,
keys,3,3,0,1.11,1.1223445840005297,,,,,,,,,,0,3,3,13,,,,,4.131760333024431,,4.125916250020964,4.131760333024431,4.131760333024431,5.256778250011848,1.11,1.1223445840005297,,,,,,,,,,,,,,,3,001,2025-10-16_21h54.49.528,Word Priming ,,2025.1.1,None,2025-10-16 21h54.59.723457 +0530,
book,4,4,0,1.11,1.2715566660044715,,,,,,,,,,0,4,4,0,,,,,5.264573375025066,,5.25886516601895,5.264573375025066,5.264573375025066,6.54013258300256,1.11,1.2715566660044715,,,,,,,,,,,,,,,3,001,2025-10-16_21h54.49.528,Word Priming ,,2025.1.1,None,2025-10-16 21h54.59.723457 +0530,
poster,5,5,0,1.11,1.3377895420126151,,,,,,,,,,0,5,5,14,,,,,6.547999083006289,,6.542427000007592,6.547999083006289,6.547999083006289,7.890271250013029,1.11,1.3377895420126151,,,,,,,,,,,,,,,3,001,2025-10-16_21h54.49.528,Word Priming ,,2025.1.1,None,2025-10-16 21h54.59.723457 +0530,
cruise,6,6,0,1.935,1.4708944169979077,,,,,,,,,,0,6,6,11,,,,,7.898137708019931,,7.892478875000961,7.898137708019931,7.898137708019931,9.373454583022976,1.935,1.4708944169979077,,,,,,,,,,,,,,,3,001,2025-10-16_21h54.49.528,Word Priming ,,2025.1.1,None,2025-10-16 21h54.59.723457 +0530,
mouse,7,7,0,1.935,1.5896761670010164,,,,,,,,,,0,7,7,8,,,,,9.381733500020346,,9.375560208020033,9.381733500020346,9.381733500020346,10.973779332998674,1.935,1.5896761670010164,,,,,,,,,,,,,,,3,001,2025-10-16_21h54.49.528,Word Priming ,,2025.1.1,None,2025-10-16 21h54.59.723457 +0530,
police,8,8,0,1,1.1385185830004048,,,,,,,,,,0,8,8,12,,,,,10.983153208013391,,10.97608787502395,10.983153208013391,10.983153208013391,12.12349012499908,1,1.1385185830004048,,,,,,,,,,,,,,,3,001,2025-10-16_21h54.49.528,Word Priming ,,2025.1.1,None,2025-10-16 21h54.59.723457 +0530,
marble,9,9,0,1,1.0389306250144728,,,,,,,,,,0,9,9,3,,,,,12.131057582999347,,12.125608833011938,12.131057582999347,12.131057582999347,13.173452750022989,1,1.0389306250144728,,,,,,,,,,,,,,,3,001,2025-10-16_21h54.49.528,Word Priming ,,2025.1.1,None,2025-10-16 21h54.59.723457 +0530,
