pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,2.546614958002465,None,0,0,0,0,,,,,0.05379420799727086,,0.047749374993145466,0.05379420799727086,1.0113469579955563,1.0113469579955563,1.0113469579955563,1.0113469579955563,1.051502000002074,1.9931141659908462,1.9931141659908462,4.919320707995212,x,1,2.546614958002465,None,,,,,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
150,v,1,1,0,v,1,1.1629605000052834,None,0,1,1,1,,,,,4.935665083001368,,4.91977662499994,4.935665083001368,5.918164082992007,5.918164082992007,5.918164082992007,5.918164082992007,5.924584041000344,6.917953915995895,6.917953915995895,8.086056165993796,v,1,1.1629605000052834,None,,,,,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
50,c ,2,2,0,c,0,1.05925470800139,None,0,2,2,2,,,,,8.099132457995438,,8.086660665998352,8.099132457995438,9.08469929099374,9.08469929099374,9.08469929099374,9.08469929099374,9.090829499997199,10.084774666000158,10.084774666000158,11.152885332994629,c,0,1.05925470800139,None,,,,,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
-150,z,3,3,0,z,1,0.8671057079918683,None,0,3,3,3,,,,,11.164522249993752,,11.153444750001654,11.164522249993752,12.151482749992283,12.151482749992283,12.151482749992283,12.151482749992283,12.157988291000947,13.151480207990971,13.151480207990971,14.025779957999475,z,1,0.8671057079918683,None,,,,,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
-50,x,4,0,1,x,1,1.0144338740064995,None,1,0,4,0,,,,,14.037041791001684,,14.026325290993555,14.037041791001684,15.024922582990257,15.024922582990257,15.024922582990257,15.024922582990257,15.03462695798953,16.02413487499871,16.02413487499871,17.042096582998056,x,1,1.0144338740064995,None,,,,,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
150,v,5,1,1,v,1,0.9987525000033202,None,1,1,5,1,,,,,17.053725457997643,,17.042584165988956,17.053725457997643,18.04116808300023,18.04116808300023,18.04116808300023,18.04116808300023,18.051317749996088,19.04174424998928,19.04174424998928,20.04254545799631,v,1,0.9987525000033202,None,,,,,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
50,c ,6,2,1,c,0,0.9860571249882923,None,1,2,6,2,,,,,20.05384216600214,,20.043045500002336,20.05384216600214,21.04199370800052,21.04199370800052,21.04199370800052,21.04199370800052,21.051384207996307,22.042315790997236,22.042315790997236,23.036420958000235,c,0,0.9860571249882923,None,,,,,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
-150,z,7,3,1,z,1,0.9024623330042232,None,1,3,7,3,,,,,23.049314124989905,,23.037220040991087,23.049314124989905,24.034720290990663,24.034720290990663,24.034720290990663,24.034720290990663,24.04184329099371,25.03473824998946,25.03473824998946,25.942344165989198,z,1,0.9024623330042232,None,,,,,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
-50,x,8,0,2,x,1,0.7459008330042707,None,2,0,8,0,,,,,25.95340116599982,,25.942840374991647,25.95340116599982,26.941867582994746,26.941867582994746,26.941867582994746,26.941867582994746,26.951253457998973,27.941437999994378,27.941437999994378,28.691599208003026,x,1,0.7459008330042707,None,,,,,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
150,v,9,1,2,v,1,0.923250581996399,None,2,1,9,1,,,,,28.703381749990513,,28.69209879099799,28.703381749990513,29.692018125002505,29.692018125002505,29.692018125002505,29.692018125002505,29.701126999992994,30.691921624995302,30.691921624995302,31.619694624998374,v,1,0.923250581996399,None,,,,,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
