study_word,thisN,thisTrialN,thisRepN,studyslider.response,studyslider.rt,test_words,textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,studytext.started,studyslider.started,trial.stopped,trials.studyslider.response,trials.studyslider.rt,studytext.stopped,test.started,test_text.started,textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,test_text.stopped,textbox.stopped,submit_text.stopped,testmouse.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
poster,0,0,0,1,7.282275083998684,,,,,,,,,,0,0,0,14,,,,,0.062275457981741056,,0.036319457984063774,0.062275457981741056,0.062275457981741056,7.3275135419971775,1,7.282275083998684,,,,,,,,,,,,,,,,,,,,4,001,2025-10-16_21h57.03.018,Word Priming ,,2025.1.1,None,2025-10-16 21h57.13.649574 +0530,
case,1,1,0,1,0.15254858302068897,,,,,,,,,,0,1,1,10,,,,,7.338317374989856,,7.332420999999158,7.338317374989856,7.338317374989856,7.493946250004228,1,0.15254858302068897,,,,,,,,,,,,,,,,,,,,4,001,2025-10-16_21h57.03.018,Word Priming ,,2025.1.1,None,2025-10-16 21h57.13.649574 +0530,
phone,2,2,0,2.015,11.554795290983748,,,,,,,,,,0,2,2,2,,,,,7.502991249988554,,7.497364332986763,7.502991249988554,7.502991249988554,19.06109699999797,2.015,11.554795290983748,15.500662207981804,,,,,,,,,,,,,,,,,,,4,001,2025-10-16_21h57.03.018,Word Priming ,,2025.1.1,None,2025-10-16 21h57.13.649574 +0530,
chart,3,3,0,2.015,0.15333183397888206,,,,,,,,,,0,3,3,6,,,,,19.07160174997989,,19.06494616699638,19.07160174997989,19.07160174997989,19.227303332998417,2.015,0.15333183397888206,,,,,,,,,,,,,,,,,,,,4,001,2025-10-16_21h57.03.018,Word Priming ,,2025.1.1,None,2025-10-16 21h57.13.649574 +0530,
mouse,4,4,0,1.97,5.1059382499952335,,,,,,,,,,0,4,4,8,,,,,19.235052999982145,,19.22936045800452,19.235052999982145,19.235052999982145,24.344102874980308,1.97,5.1059382499952335,,,,,,,,,,,,,,,,,,,,4,001,2025-10-16_21h57.03.018,Word Priming ,,2025.1.1,None,2025-10-16 21h57.13.649574 +0530,
cruise,5,5,0,1.97,0.28681862499797717,,,,,,,,,,0,5,5,11,,,,,24.353456582990475,,24.347686082997825,24.353456582990475,24.353456582990475,24.644000332977157,1.97,0.28681862499797717,,,,,,,,,,,,,,,,,,,,4,001,2025-10-16_21h57.03.018,Word Priming ,,2025.1.1,None,2025-10-16 21h57.13.649574 +0530,
pastry,6,6,0,1.97,1.1530383750214241,,,,,,,,,,0,6,6,9,,,,,24.65369733297848,,24.64808620797703,24.65369733297848,24.65369733297848,25.810574167000595,1.97,1.1530383750214241,,,,,,,,,,,,,,,,,,,,4,001,2025-10-16_21h57.03.018,Word Priming ,,2025.1.1,None,2025-10-16 21h57.13.649574 +0530,
book,7,7,0,1.97,0.421970750001492,,,,,,,,,,0,7,7,0,,,,,25.818285041983472,,25.812595374998637,25.818285041983472,25.818285041983472,26.24396645798697,1.97,0.421970750001492,,,,,,,,,,,,,,,,,,,,4,001,2025-10-16_21h57.03.018,Word Priming ,,2025.1.1,None,2025-10-16 21h57.13.649574 +0530,
laptop,8,8,0,1.97,0.47719845798565075,,,,,,,,,,0,8,8,5,,,,,26.251509333000286,,26.245959874999244,26.251509333000286,26.251509333000286,26.731393708003452,1.97,0.47719845798565075,,,,,,,,,,,,,,,,,,,,4,001,2025-10-16_21h57.03.018,Word Priming ,,2025.1.1,None,2025-10-16 21h57.13.649574 +0530,
keys,9,9,0,1.975,2.4860579159867484,,,,,,,,,,0,9,9,13,,,,,26.74360579199856,,26.733251124998787,26.74360579199856,26.74360579199856,29.22748491697712,1.975,2.4860579159867484,,,,,,,,,,,,,,,,,,,,4,001,2025-10-16_21h57.03.018,Word Priming ,,2025.1.1,None,2025-10-16 21h57.13.649574 +0530,
cushion,10,10,0,1.995,4.436767790990416,,,,,,,,,,0,10,10,1,,,,,29.237962749990402,,29.231748999998672,29.237962749990402,29.237962749990402,33.67778816699865,1.995,4.436767790990416,,,,,,,,,,,,,,,,,,,,4,001,2025-10-16_21h57.03.018,Word Priming ,,2025.1.1,None,2025-10-16 21h57.13.649574 +0530,
marble,11,11,0,1.995,0.18828891700832173,,,,,,,,,,0,11,11,3,,,,,33.687599917000625,,33.68118625000352,33.687599917000625,33.687599917000625,33.877321541978745,1.995,0.18828891700832173,,,,,,,,,,,,,,,,,,,,4,001,2025-10-16_21h57.03.018,Word Priming ,,2025.1.1,None,2025-10-16 21h57.13.649574 +0530,
tshirt,12,12,0,1.995,1.6724071250064299,,,,,,,,,,0,12,12,7,,,,,33.88539449998643,,33.87932979199104,33.88539449998643,33.88539449998643,35.56068558298284,1.995,1.6724071250064299,,,,,,,,,,,,,,,,,,,,4,001,2025-10-16_21h57.03.018,Word Priming ,,2025.1.1,None,2025-10-16 21h57.13.649574 +0530,
board,13,13,0,1.075,1.5987562079972122,,,,,,,,,,0,13,13,4,,,,,35.57494974997826,,35.569279457995435,35.57494974997826,35.57494974997826,37.177405333000934,1.075,1.5987562079972122,,,,,,,,,,,,,,,,,,,,4,001,2025-10-16_21h57.03.018,Word Priming ,,2025.1.1,None,2025-10-16 21h57.13.649574 +0530,
police,14,14,0,1.075,1.004974791983841,,,,,,,,,,0,14,14,12,,,,,37.185385457996745,,37.17967679200228,37.185385457996745,37.185385457996745,38.193958166986704,1.075,1.004974791983841,,,,,,,,,,,,,,,,,,,,4,001,2025-10-16_21h57.03.018,Word Priming ,,2025.1.1,None,2025-10-16 21h57.13.649574 +0530,
,0,0,0,,,_ru_is_,cruise,[np.float64(-0.105)],[np.float64(-0.25)],[1],[0],[0],[9.546359958010726],['submit_text'],,,,,0,0,0,6,38.24584745799075,,,,,,,,,38.21013820799999,38.24584745799075,38.24584745799075,38.24584745799075,0.016201082995394245,47.75675549998414,cruise,[np.float64(-0.105)],[np.float64(-0.25)],[1],[0],[0],[9.546359958010726],['submit_text'],,,,,4,001,2025-10-16_21h57.03.018,Word Priming ,,2025.1.1,None,2025-10-16 21h57.13.649574 +0530,
,1,1,0,,,_a_bl_,,[np.float64(-0.105)],[np.float64(-0.25)],[1],[0],[0],[0.2740379160095472],['submit_text'],,,,,0,1,1,11,47.76856104200124,,,,,,,,,47.76157683299971,47.76856104200124,47.76856104200124,47.76856104200124,0.0039732079894747585,48.03580774998409,,[np.float64(-0.105)],[np.float64(-0.25)],[1],[0],[0],[0.2740379160095472],['submit_text'],,,,,4,001,2025-10-16_21h57.03.018,Word Priming ,,2025.1.1,None,2025-10-16 21h57.13.649574 +0530,
,2,2,0,,,p_li_e,police,[],[],[],[],[],[],[],,,,,0,2,2,7,48.044663457985735,,,,,,,,,48.03780383299454,48.044663457985735,48.044663457985735,48.044663457985735,0.0019000000029336661,58.02765604198794,police,[],[],[],[],[],[],[],58.03843187500024,58.03843187500024,58.03843187500024,9.9915502499789,4,001,2025-10-16_21h57.03.018,Word Priming ,,2025.1.1,None,2025-10-16 21h57.13.649574 +0530,
,3,3,0,,,v_s_,vase,[np.float64(-0.07875)],[np.float64(-0.24)],[1],[0],[0],[4.781504667014815],['submit_text'],,,,,0,3,3,17,58.03843187500024,,,,,,,,,58.03176691700355,58.03843187500024,58.03843187500024,58.03843187500024,0.002592916978755966,62.82019774999935,vase,[np.float64(-0.07875)],[np.float64(-0.24)],[1],[0],[0],[4.781504667014815],['submit_text'],,,,,4,001,2025-10-16_21h57.03.018,Word Priming ,,2025.1.1,None,2025-10-16 21h57.13.649574 +0530,
