word,color,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,text.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,ty.started,text_3.started,text_3.stopped,ty.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.03481958305928856,0.051158874994143844,1.006772458087653,,,,,,,,,,,,,,,,5,"001",2025-08-25_22h23.24.539,stroop_task,,2025.2.0,None,2025-08-25 22h23.24.684069 +0530,
RED,blue,I,b,0,0,0,b,1,4.869979083072394,None,0,0,0,1,1.052442125044763,,,,,1.039267500047572,1.052442125044763,1.5065993330208585,1.5065993330208585,1.5065993330208585,5.995527666062117,6.730628082994372,b,1,4.869979083072394,None,,,,,5,"001",2025-08-25_22h23.24.539,stroop_task,,2025.2.0,None,2025-08-25 22h23.24.684069 +0530,
RED,red,C,r,1,1,0,r,1,4.393283332930878,None,0,1,1,0,6.73636395810172,,,,,6.731153666041791,6.73636395810172,7.231120208045468,7.231120208045468,7.231120208045468,,11.63174516602885,r,1,4.393283332930878,None,,,,,5,"001",2025-08-25_22h23.24.539,stroop_task,,2025.2.0,None,2025-08-25 22h23.24.684069 +0530,
BLUE,red,I,r,2,2,0,r,1,1.2488262080587447,None,0,2,2,2,11.733719000010751,,,,,11.646050958079286,11.733719000010751,12.129464625031687,12.129464625031687,12.129464625031687,,13.3802439160645,r,1,1.2488262080587447,None,,,,,5,"001",2025-08-25_22h23.24.539,stroop_task,,2025.2.0,None,2025-08-25 22h23.24.684069 +0530,
BLUE,blue,C,b,3,3,0,b,1,4.133329499978572,None,0,3,3,3,13.410939833032899,,,,,13.381499250070192,13.410939833032899,13.87889187503606,13.87889187503606,13.87889187503606,,18.014009041013196,b,1,4.133329499978572,None,,,,,5,"001",2025-08-25_22h23.24.539,stroop_task,,2025.2.0,None,2025-08-25 22h23.24.684069 +0530,
RED,blue,I,b,4,0,1,r,0,0.7192778330063447,None,1,0,4,1,18.02843433304224,,,,,18.01916333299596,18.02843433304224,18.5149352500448,18.5149352500448,18.5149352500448,,19.242470291093923,r,0,0.7192778330063447,None,,,,,5,"001",2025-08-25_22h23.24.539,stroop_task,,2025.2.0,None,2025-08-25 22h23.24.684069 +0530,
RED,red,C,r,5,1,1,r,1,0.7544238329865038,None,1,1,5,0,19.25533445808105,,,,,19.243277583038434,19.25533445808105,19.73975850001443,19.73975850001443,19.73975850001443,,20.49684833304491,r,1,0.7544238329865038,None,,,,,5,"001",2025-08-25_22h23.24.539,stroop_task,,2025.2.0,None,2025-08-25 22h23.24.684069 +0530,
BLUE,blue,C,b,6,2,1,b,1,0.5698596660513431,None,1,2,6,3,20.511768333031796,,,,,20.50166720803827,20.511768333031796,21.005204916000366,21.005204916000366,21.005204916000366,,21.580499958014116,b,1,0.5698596660513431,None,,,,,5,"001",2025-08-25_22h23.24.539,stroop_task,,2025.2.0,None,2025-08-25 22h23.24.684069 +0530,
BLUE,red,I,r,7,3,1,r,1,0.7928288739640266,None,1,3,7,2,21.592514333082363,,,,,21.58146045799367,21.592514333082363,22.090223250095733,22.090223250095733,22.090223250095733,,22.892903833067976,r,1,0.7928288739640266,None,,,,,5,"001",2025-08-25_22h23.24.539,stroop_task,,2025.2.0,None,2025-08-25 22h23.24.684069 +0530,
BLUE,blue,C,b,8,0,2,b,1,0.6724652079865336,None,2,0,8,3,22.905805208021775,,,,,22.894325541099533,22.905805208021775,23.3894874160178,23.3894874160178,23.3894874160178,,24.075172958080657,b,1,0.6724652079865336,None,,,,,5,"001",2025-08-25_22h23.24.539,stroop_task,,2025.2.0,None,2025-08-25 22h23.24.684069 +0530,
