thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,up,1,0.6427586240024539,None,0,0,0,0,0,0.05762787500862032,,0.044481290999101475,0.05762787500862032,1.0089650410081958,1.0549428330123192,2.1666828750021523,up,1,0.6427586240024539,None,0,trial,001,2025-09-03_22h06.19.923,EXP 3 Orientation Discrimination task | Measures of Signal Detection,,2025.1.1,None,2025-09-03 22h06.35.134103 +0530,
1,0,1,down,1,0.510762000005343,None,-3,1,0,1,0,2.296866625008988,,2.167023333007819,2.296866625008988,3.1610230410005897,3.2915636250108946,3.6891006660007406,down,1,0.510762000005343,None,-3,trial,001,2025-09-03_22h06.19.923,EXP 3 Orientation Discrimination task | Measures of Signal Detection,,2025.1.1,None,2025-09-03 22h06.35.134103 +0530,
2,0,2,up,1,0.7097907080024015,None,0,2,0,2,0,3.7027463750127936,,3.6903818330029026,3.7027463750127936,4.685514250013512,4.69130566601234,5.404462458012858,up,1,0.7097907080024015,None,0,trial,001,2025-09-03_22h06.19.923,EXP 3 Orientation Discrimination task | Measures of Signal Detection,,2025.1.1,None,2025-09-03 22h06.35.134103 +0530,
3,0,3,down,1,0.8067068750096951,None,1,3,0,3,0,5.417176958013442,,5.406512291010586,5.417176958013442,6.402025125004002,6.40768108300108,7.221302416000981,down,1,0.8067068750096951,None,1,trial,001,2025-09-03_22h06.19.923,EXP 3 Orientation Discrimination task | Measures of Signal Detection,,2025.1.1,None,2025-09-03 22h06.35.134103 +0530,
4,0,4,up,1,0.7902857909939485,None,0,4,0,4,0,7.232433416007552,,7.222433750008349,7.232433416007552,8.218411958005163,8.224885625008028,9.021420458011562,up,1,0.7902857909939485,None,0,trial,001,2025-09-03_22h06.19.923,EXP 3 Orientation Discrimination task | Measures of Signal Detection,,2025.1.1,None,2025-09-03 22h06.35.134103 +0530,
5,0,5,up,1,0.6271040829888079,None,0,5,0,5,0,9.031931416000589,,9.022352041007252,9.031931416000589,10.021314416007954,10.035878833004972,10.655281125000329,up,1,0.6271040829888079,None,0,trial,001,2025-09-03_22h06.19.923,EXP 3 Orientation Discrimination task | Measures of Signal Detection,,2025.1.1,None,2025-09-03 22h06.35.134103 +0530,
6,0,6,down,1,0.6547337920055725,None,3,6,0,6,0,10.689180041008512,,10.656029791003675,10.689180041008512,11.651728166005341,11.685305666003842,12.308879291013,down,1,0.6547337920055725,None,3,trial,001,2025-09-03_22h06.19.923,EXP 3 Orientation Discrimination task | Measures of Signal Detection,,2025.1.1,None,2025-09-03 22h06.35.134103 +0530,
7,0,7,up,1,0.7284329579997575,None,0,7,0,7,0,12.32035204100248,,12.309369458002038,12.32035204100248,13.310035541013349,13.318533666009898,14.041452750010649,up,1,0.7284329579997575,None,0,trial,001,2025-09-03_22h06.19.923,EXP 3 Orientation Discrimination task | Measures of Signal Detection,,2025.1.1,None,2025-09-03 22h06.35.134103 +0530,
8,0,8,up,0,0.6643236669915495,None,0,8,0,8,0,14.051606791006634,,14.042219082999509,14.051606791006634,15.03512500000943,15.041221750012483,15.70426050000242,up,0,0.6643236669915495,None,0,trial,001,2025-09-03_22h06.19.923,EXP 3 Orientation Discrimination task | Measures of Signal Detection,,2025.1.1,None,2025-09-03 22h06.35.134103 +0530,
9,0,9,up,1,0.6933816239907173,None,0,9,0,9,0,15.717906625010073,,15.704825916007394,15.717906625010073,16.7019839160057,16.70666137500666,17.405100208008662,up,1,0.6933816239907173,None,0,trial,001,2025-09-03_22h06.19.923,EXP 3 Orientation Discrimination task | Measures of Signal Detection,,2025.1.1,None,2025-09-03 22h06.35.134103 +0530,
